season,bb_ref_team_name,ATL,BOS,BKN,CHI,CHA,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2008,Charlotte Bobcats,1-3,1-2,1-2,2-1,NA,0-3,0-2,0-2,1-3,1-1,0-2,2-2,2-0,2-0,2-0,1-3,1-3,1-1,1-1,2-2,1-1,0-4,3-1,1-1,1-1,2-0,0-2,2-2,1-1,3-1
2008,Chicago Bulls,0-3,1-2,3-1,NA,1-2,1-3,1-1,1-1,3-1,2-0,1-1,2-2,2-0,0-2,1-1,1-3,3-1,0-2,2-0,2-1,1-1,1-3,2-2,2-0,0-2,2-0,0-2,1-3,2-0,3-1
2008,Cleveland Cavaliers,3-1,2-2,3-0,3-1,3-0,NA,2-0,2-0,3-1,2-0,1-1,3-1,2-0,0-2,2-0,3-1,4-0,2-0,1-1,4-0,2-0,1-2,3-1,2-0,2-0,2-0,2-0,3-0,2-0,2-2
2008,Dallas Mavericks,1-1,0-2,1-1,1-1,2-0,0-2,NA,0-4,2-0,2-1,2-2,2-0,3-1,0-3,2-2,2-0,1-1,4-0,1-3,2-0,2-1,1-1,2-0,3-1,3-0,3-1,2-2,2-0,2-2,2-0
2008,Denver Nuggets,1-1,1-1,1-1,1-1,2-0,0-2,4-0,NA,0-2,2-1,1-3,1-1,4-0,1-3,3-0,2-0,1-1,4-0,2-2,2-0,4-0,1-1,2-0,1-2,2-2,3-1,2-1,2-0,2-2,2-0
2008,Detroit Pistons,0-3,1-3,2-2,1-3,3-1,1-3,0-2,2-0,NA,2-0,0-2,2-2,2-0,1-1,1-1,1-3,3-1,1-1,0-2,2-2,1-1,3-0,1-2,0-2,0-2,2-0,1-1,3-0,0-2,3-1
2008,Golden State Warriors,1-1,1-1,2-0,0-2,1-1,0-2,1-2,1-2,0-2,NA,0-4,1-1,3-1,0-4,0-3,0-2,1-1,2-2,2-2,1-1,2-2,0-2,1-1,1-3,2-1,2-2,0-4,1-1,2-2,1-1
2008,Houston Rockets,1-1,1-1,2-0,1-1,2-0,1-1,2-2,3-1,2-0,4-0,NA,0-2,3-1,0-4,2-2,2-0,1-1,4-0,3-1,1-1,3-0,2-0,0-2,2-1,2-1,3-0,2-2,1-1,2-2,1-1
2008,Indiana Pacers,1-3,1-3,2-1,2-2,2-2,1-3,0-2,1-1,2-2,1-1,2-0,NA,1-1,1-1,1-1,2-1,2-2,1-1,0-2,1-2,2-0,1-3,2-2,1-1,0-2,2-0,0-2,2-2,0-2,2-1
2008,Los Angeles Clippers,1-1,1-1,1-1,0-2,0-2,0-2,1-3,0-4,0-2,1-3,1-3,1-1,NA,0-4,1-2,1-1,1-1,1-2,0-3,2-0,3-1,0-2,0-2,0-4,1-3,1-3,0-4,0-2,0-3,1-1
2008,Los Angeles Lakers,1-1,2-0,2-0,2-0,0-2,2-0,3-0,3-1,1-1,4-0,4-0,1-1,4-0,NA,4-0,1-1,2-0,4-0,3-1,2-0,3-0,0-2,1-1,3-1,2-2,3-1,2-1,2-0,2-1,2-0
2008,Memphis Grizzlies,1-1,0-2,0-2,1-1,0-2,0-2,2-2,0-3,1-1,3-0,2-2,1-1,2-1,0-4,NA,1-1,1-1,0-3,1-3,0-2,1-3,1-1,0-2,1-3,0-4,2-2,0-4,1-1,0-4,2-0
2008,Miami Heat,1-3,1-3,3-1,3-1,3-1,1-3,0-2,0-2,3-1,2-0,0-2,1-2,1-1,1-1,1-1,NA,2-1,1-1,0-2,2-1,2-0,1-3,2-2,2-0,0-2,2-0,1-1,1-2,2-0,4-0
2008,Milwaukee Bucks,1-3,1-2,2-2,1-3,3-1,0-4,1-1,1-1,1-3,1-1,1-1,2-2,1-1,0-2,1-1,1-2,NA,0-2,0-2,3-1,2-0,1-3,0-3,0-2,0-2,2-0,2-0,2-2,1-1,3-0
2008,Minnesota Timberwolves,0-2,0-2,1-1,2-0,1-1,0-2,0-4,0-4,1-1,2-2,0-4,1-1,2-1,0-4,3-0,1-1,2-0,NA,1-2,1-1,2-2,0-2,1-1,1-2,0-4,1-3,0-4,0-2,1-3,0-2
2008,New Jersey Nets,3-1,0-4,NA,1-3,2-1,0-3,1-1,1-1,2-2,0-2,0-2,1-2,1-1,0-2,2-0,1-3,2-2,1-1,0-2,2-2,1-1,1-2,4-0,1-1,0-2,2-0,0-2,2-2,1-1,2-2
2008,New Orleans Hornets,0-2,0-2,2-0,0-2,1-1,1-1,3-1,2-2,2-0,2-2,1-3,2-0,3-0,1-3,3-1,2-0,2-0,2-1,NA,0-2,4-0,1-1,2-0,2-1,2-2,3-1,2-2,2-0,0-3,2-0
2008,New York Knicks,2-1,1-3,2-2,1-2,2-2,0-4,0-2,0-2,2-2,1-1,1-1,2-1,0-2,0-2,2-0,1-2,1-3,1-1,2-0,NA,1-1,1-3,0-4,1-1,0-2,1-1,1-1,2-2,1-1,3-1
2008,Oklahoma City Thunder,0-2,0-2,1-1,1-1,1-1,0-2,1-2,0-4,1-1,2-2,0-3,0-2,1-3,0-3,3-1,0-2,0-2,2-2,0-4,1-1,NA,0-2,1-1,0-4,1-3,2-1,2-2,1-1,1-3,1-1
2008,Orlando Magic,3-1,2-2,2-1,3-1,4-0,2-1,1-1,1-1,0-3,2-0,0-2,3-1,2-0,2-0,1-1,3-1,3-1,2-0,1-1,3-1,2-0,NA,3-0,1-1,1-1,2-0,2-0,2-2,2-0,4-0
2008,Philadelphia 76ers,2-1,0-4,0-4,2-2,1-3,1-3,0-2,0-2,2-1,1-1,2-0,2-2,2-0,1-1,2-0,2-2,3-0,1-1,0-2,4-0,1-1,0-3,NA,1-1,2-0,2-0,1-1,2-2,0-2,4-0
2008,Phoenix Suns,2-0,0-2,1-1,0-2,1-1,0-2,1-3,2-1,2-0,3-1,1-2,1-1,4-0,1-3,3-1,0-2,2-0,2-1,1-2,1-1,4-0,1-1,1-1,NA,2-2,3-1,1-3,2-0,2-2,2-0
